# The Kid Computer dictionary
#
# Format: word <TAB> part of speech <TAB> definition
# One line per sense, sorted by word. Edit or delete lines freely; the lookup
# script reads this file directly and nothing needs rebuilding.
#
# Rebuild from source with tools/build-dictionary.py
#
# Definitions come from Simple English Wiktionary
# (https://simple.wiktionary.org), used under CC BY-SA 4.0
# (https://creativecommons.org/licenses/by-sa/4.0/). Text has been
# filtered and truncated; see tools/build-dictionary.py for exactly how.
# Derived text remains under CC BY-SA 4.0.
a-	prefix	a- is a prefix that means "not". When put in front of a word, the meaning of that word reverses.
abashing	verb	The present participle of abash.
abashment	noun	An abashment is an action that makes someone embarrassed.
abashments	noun	The plural form of abashment; more than one (kind of) abashment.
abasia	noun	Abasia is the loss of the ability to walk.
abasias	noun	The plural form of abasia; more than one (kind of) abasia.
abasing	verb	The present participle of abase.
abate	verb	When something abates, it grows less.
abate	verb	To abate something means to make it less or put an end to it.
abated	verb	The past tense and past participle of abate.
abates	verb	The third-person singular form of abate.
abating	verb	The present participle of abate.
abating	adj	If something is abating, it is growing less.
abattoir	noun	A slaughterhouse; a place where animals are killed.
abattoirs	noun	The plural form of abattoir; more than one (kind of) abattoir.
abaya	noun	An abaya is a black robe worn by Muslim women.
abayas	noun	The plural form of abaya; more than one (kind of) abaya.
abbacies	noun	The plural form of abbacy; more than one (kind of) abbacy.
abbacy	noun	The experience of being an abbot.
abbess	noun	An abbess is a woman who is a leader of an abbey of nuns.
abbesses	noun	The plural form of abbess; more than one (kind of) abbess.
abbey	noun	An abbey is a building where monks or nuns live, or used to live.
abbey	noun	An abbey is a church which was once part of an abbey.
abbeys	noun	The plural form of abbey; more than one (kind of) abbey.
abbot	noun	An abbot is a man who is the leader of an abbey of monks or monastery.
abbots	noun	The plural form of abbot; more than one (kind of) abbot.
abbreviate	verb	If you abbreviate something, especially a word or a piece of writing, you make it shorter.
abbreviated	verb	The past tense and past participle of abbreviate.
abbreviated	adj	If something is abbreviated, it is shortened.
abbreviates	verb	The third-person singular form of abbreviate.
abbreviating	verb	The present participle of abbreviate.
abbreviation	noun	An abbreviation is a shorter way of writing or saying a word or phrase.
abbreviations	noun	The plural form of abbreviation; more than one (kind of) abbreviation.
abbreviator	noun	An abbreviator is someone or something that abbreviates (makes something shorter).
abbreviators	noun	The plural form of abbreviator; more than one (kind of) abbreviator.
abc	noun	The ABC are the letters of the alphabet
abc	noun	The ABC of something is the most basic thing you have to know about it
abc	noun	ABC can mean "American Born Chinese"
abcoulomb	noun	An abcoulomb is a measure of electricity that is equal to ten coulombs.
abcoulombs	noun	The plural form of abcoulomb; more than one (kind of) abcoulomb.
abcs	noun	The plural form of ABC; more than one (kind of) ABC.
abdicable	adj	If someone is abdicable, they are capable of giving up their reign or power over a country.
abdicate	verb	When a ruler abdicates, he formally gives up his power and reign over a country.
abdicated	verb	The past tense and past participle of abdicate.
abdicates	verb	The third-person singular form of abdicate.
abdicating	verb	The present participle of abdicate.
abdication	noun	Abdication is the action of losing reign or power over a country.
abdications	noun	The plural form of abdication; more than one (kind of) abdication.
abdicator	noun	An abdicator is someone who loses their reign or power over a country.
abdicators	noun	The plural form of abdicator; more than one (kind of) abdicator.
abdomen	noun	The abdomen is the front part of the lower torso containing many internal organs.
abdomen	noun	The abdomen is the last of the three parts of an insect's body.
abdomens	noun	The plural form of abdomen; more than one (kind of) abdomen.
abdominal	adj	Relating to the abdominal muscles
abdominous	adj	Having a chest that is large.
abduce	verb	If you abduce something, you cause it to move away from a location.
abduced	verb	The past tense and past participle of abduce.
abduces	verb	The third-person singular form of abduce.
abducing	verb	The present participle of abduce.
abduct	verb	If you abduct a person, you take them away by force.
abducted	verb	The past tense and past participle of abduct.
abducted	adj	If someone has been abducted, that means they have been taken by someone without their permission.
abductee	noun	An abductee is a person who has been abducted.
abductees	noun	The plural form of abductee; more than one (kind of) abductee.
abducting	verb	The present participle of abduct.
abduction	noun	Abduction is the act of taking someone away by force.
abductions	noun	The plural form of abduction; more than one (kind of) abduction.
abducts	verb	The third-person singular form of abduct.
abecedarian	noun	An abecedarian is a beginner or novice.
abecedarian	adj	If something is abecedarian, it is in alphabetical order.
abecedarians	noun	The plural form of abecedarian; more than one (kind of) abecedarian.
abecedarius	noun	An abecedarius is a poem where the first letters of each line are in alphabetical order.
abecedariuses	noun	The plural form of abecedarius; more than one (kind of) abecedarius.
abed	adv	in bed
aberrance	noun	An aberrance is something that is unusual or weird.
aberrances	noun	The plural form of aberrance; more than one (kind of) aberrance.
aberrancies	noun	The plural form of aberrancy; more than one (kind of) aberrancy.
aberrancy	noun	An aberrancy is something that is unusual or weird
aberrant	noun	A person who is unusual or weird
aberrant	adj	When something is aberrant, it is straying from the right or usual course; wandering.
aberrant	adj	Something that is varying from ordinary type; abnormal; exceptional.
aberrants	noun	The plural form of aberrant; more than one (kind of) aberrant.
aberrate	verb	If you aberrate, you do something that is unusual or weird.
aberrated	verb	The past tense and past participle of aberrate.
aberrates	verb	The third-person singular form of aberrate.
aberrating	verb	The present participle of aberrate.
aberration	noun	An aberration is something that is unusual or weird.
aberration	noun	An aberration is also a brain problem that makes someone unable to think correctly.
aberration	noun	It's also an image that is not clear.
aberrations	noun	The plural form of aberration; more than one (kind of) aberration.
abet	verb	If you abet someone, you help them do something that is a crime.
abetment	noun	Abetment is the action of helping someone do a crime.
abetments	noun	The plural form of abetment; more than one (kind of) abetment.
abets	verb	The third-person singular form of abet.
abetted	verb	The past tense and past participle of abet.
abetter	noun	An abetter is a person who helps someone do a crime.
abetters	noun	The plural form of abetter; more than one (kind of) abetter.
abetting	verb	The present participle of abet.
abettor	noun	An abettor is a person who helps someone do a crime.
abettors	noun	The plural form of abettor; more than one (kind of) abettor.
abeyance	noun	A pause.
abeyances	noun	The plural form of abeyance; more than one (kind of) abeyance.
abeyant	adj	If something is abeyant, it is in a state of being suspended.
abfarad	noun	An abfarad is a measure of electricity equal to a billion farads.
abfarads	noun	The plural form of abfarad; more than one (kind of) abfarad.
abhor	verb	To hate very, very much; to feel disgust for.
abhorred	verb	The past tense and past participle of abhor.
abhorrence	noun	Abhorrence is the hate or dislike of something.
abhorrences	noun	The plural form of abhorrence; more than one (kind of) abhorrence.
abhorrent	adj	If something is abhorrent, people dislike it.
abhorring	verb	The present participle of abhor.
abhors	verb	The third-person singular form of abhor.
abide	verb	If you can't abide something, you really do not like it.
abide	verb	If you abide by a rule or decision, you follow or accept it.
abided	verb	The past tense and past participle of abide.
abides	verb	The third-person singular form of abide.
abiding	adj	If something is abiding, it always exists.
abiding	verb	The present participle of abide.
abience	noun	Abience is the desire to avoid someone or something.
abiences	noun	The plural form of abience; more than one (kind of) abience.
abient	adj	If someone is abient of something, they often try to avoid it.
abilities	noun	The plural form of ability; more than one (kind of) ability.
ability	noun	An ability is something that you can do.
abiogeneses	noun	The plural form of abiogenesis; more than one (kind of) abiogenesis.
abiogenesis	noun	Abiogenesis is the creation of a living thing from something that is nonliving.
abiogenetic	adj	If something is abiogenetic, it is related to or caused by abiogenesis (the creation of a living thing from something that is nonliving).
abiogenist	noun	An abiogenist is someone who believes that abiogenesis is possible
abiogenists	noun	The plural form of abiogenist; more than one (kind of) abiogenist.
abiotic	adj	When something is abiotic, it is not a living thing, not alive and is not made by an organism. Abiotic refers to things that are not alive, like light, water, air, nutrients, minerals, and soil.
abiotrophies	noun	The plural form of abiotrophy; more than one (kind of) abiotrophy.
abiotrophy	noun	Abiotrophy is a decrease in the quality of human body cells that is caused by an unknown injury.
abirritate	verb	If you abirritate a wound, you soothe it.
abirritated	verb	The past tense and past participle of abirritate.
abirritates	verb	The third-person singular form of abirritate.
abirritating	verb	The present participle of abirritate.
abject	adj	If something is abject, it causes someone to experience it at a maximum degree.
abjecter	adj	The comparative form of abject; more abject.
abjectest	adj	The superlative form of abject; most abject.
abjection	noun	The act of bringing down or humbling.
abjection	noun	The state of being rejected or cast out.
abjection	noun	A low or downcast condition; meanness of spirit; abasement; degradation.
abjections	noun	The plural form of abjection; more than one (kind of) abjection.
abjectly	adv	If something is done abjectly it is done without hope.
abjuration	noun	An abjuration is telling people that something you said in the past wasn't true.
abjurations	noun	The plural form of abjuration; more than one (kind of) abjuration.
abjure	verb	If someone abjures a belief, they say it is not true.
abjure	verb	If someone abjures a way of life, they say they will not live like that.
abjured	verb	The past tense and past participle of abjure.
abjures	verb	The third-person singular form of abjure.
abjuring	verb	The present participle of abjure.
abkhazian	noun	An Abkhazian is a person or thing that came from Abkhazia.
abkhazians	noun	The plural form of Abkhazian; more than one (kind of) Abkhazian.
ablactate	verb	If you ablactate a baby, you stop giving it milk from a woman's breasts
ablactated	verb	The past tense and past participle of ablactate.
ablactates	verb	The third-person singular form of ablactate.
ablactating	verb	The present participle of ablactate.
ablactation	noun	Ablactation is making a baby stop drinking milk from breasts.
ablactations	noun	The plural form of ablactation; more than one (kind of) ablactation.
ablate	verb	If you ablate something, you remove it from an animal or plant.
ablated	verb	The past tense and past participle of ablate.
ablates	verb	The third-person singular form of ablate.
ablating	verb	The present participle of ablate.
ablation	noun	Ablation is the action of removing a body part from an animal.
ablations	noun	The plural form of ablation; more than one (kind of) ablation.
ablaze	adj	If something or someone is ablaze, it is on fire; it is burning strongly.
ablaze	adj	If something is ablaze, it is glowing with a bright light and color.
ablaze	adv	If something is ablaze, it is done very passionately.
able	adj	If someone is able to do something, they can do it.
able	adj	If a person is able, the person is good or skillful at what he does.
able-bodiedism	noun	Able-bodiedism is the belief that people who are healthy are more important than people who are unhealthy.
able-bodism	noun	Able-bodism is the belief that people who are healthy are more important than people who are unhealthy.
ableism	noun	Ableism is the belief that people who are healthy are more important than people who are unhealthy.
ablepharia	noun	Ablepharia is not having eyelids.
abler	adj	The comparative form of able; more able.
ablest	adj	The superlative form of able; most able.
ablism	noun	Ablism is the belief that people who are healthy are more important than people who are unhealthy.
abloom	adj	If a plant is abloom, it has flowers.
abloom	adj	If a someone or something is abloom, it is full of life.
ablution	noun	Ablution is the washing of body parts for religious purposes or an object that is holy.
ablutionary	adj	If something is ablutionary, it makes your hands clean.
ablutions	noun	The plural form of ablution; more than one (kind of) ablution.
ablutophobia	noun	Ablutophobia is the fear of washing or bathing.
ably	adv	If something is done ably, then it is done with great ability.
abnegate	verb	If you abnegate, you renounce or give up something.
abnegated	verb	The past tense and past participle of abnegate.
abnegates	verb	The third-person singular form of abnegate.
abnegating	verb	The present participle of abnegate.
abnegation	noun	Abnegation is the denial or renunciation of something.
abnegations	noun	The plural form of abnegation; more than one (kind of) abnegation.
abnormal	adj	An abnormal thing, or situation, is one that is strange, or not typical.
abnormal	adj	When something is abnormal, it often means that it is bigger than [[normal].
abnormalcies	noun	The plural form of abnormalcy; more than one (kind of) abnormalcy.
abnormalcy	noun	An abnormalcy is something that is abnormal (unusual; not normal).
abnormalities	noun	The plural form of abnormality; more than one (kind of) abnormality.
abnormality	noun	An abnormality is something that is not normal.
abnormally	adv	When something is done abnormally, it is done in a way that is not normal; it is done in an abnormal way.
aboard	prep	on or onto a boat, airplane, train, etc.
abode	noun	An abode is the place where you live.
abodes	noun	The plural form of abode; more than one (kind of) abode.
abolish	verb	When you abolish something, you end it by making it invalid or illegal. You usually use the word "abolish" in regard to laws or actions.
abolishable	adj	If someone is abolishable, it can be abolished.
abolished	verb	The past tense and past participle of abolish.
abolishes	verb	The third-person singular form of abolish.
abolishing	verb	The present participle of abolish.
abolishment	noun	Abolishment is the action of ending something. It often refers to the end of slavery in the United States.
abolishments	noun	The plural form of abolishment; more than one (kind of) abolishment.
abolition	noun	Abolition is the action of ending something. It often refers to the end of slavery in the United States.
abolitionary	adj	Abolitionary ideas or actions are related to abolition.
abolitionism	noun	Abolitionism is the belief that slavery should not exist.
abolitionist	noun	An abolitionist is a person who thinks slavery should not exist.
abolitionists	noun	The plural form of abolitionist; more than one (kind of) abolitionist.
abolitions	noun	The plural form of abolition; more than one (kind of) abolition.
abominable	adj	If something is abominable, it is awful (horrible).
abominable	adj	If someone is abominable, they are not liked.
abominate	verb	If you abominate something, you hate it.
abominated	verb	The past tense and past participle of abominate.
abominates	verb	The third-person singular form of abominate.
abominating	verb	The present participle of abominate.
abomination	noun	An abomination is something very nasty or unpleasant.
abominations	noun	The plural form of abomination; more than one (kind of) abomination.
aboriginal	noun	An Aboriginal is an Australian aborigine.
aboriginal	adj	Aboriginal means belonging or relating to the Australian Aborigines.
aboriginal	adj	The aboriginal people or animals of a place are ones that have been there from the earliest known times or that were there before people or animals from other countries arrived.
aboriginals	noun	The plural form of aboriginal; more than one (kind of) aboriginal.
aborigine	noun	Aborigines are members of the tribes that were living in Australia when Europeans arrived there.
aborigines	noun	The plural form of aborigine; more than one (kind of) aborigine.
aborning	adj	If something is aborning, it is being born.
abort	verb	If you abort something, you stop something from happening any longer.
abort	verb	If a doctor aborts an unborn baby, they stop it from being born alive.
aborted	verb	The past tense and past participle of abort.
aborticide	noun	Aborticide is the action of killing (aborting) a baby that has not been born yet.
aborticide	noun	Aborticide is also a drug that kills a baby that has not been born yet.
aborticides	noun	The plural form of aborticide; more than one (kind of) aborticide.
aborting	verb	The present participle of abort.
abortion	noun	If a woman has an abortion, her pregnancy is ended deliberately.
abortions	noun	The plural form of abortion; more than one (kind of) abortion.
abortively	adv	If something is done abortively, it fails to achieve its goals.
aborts	verb	The third-person singular form of abort.
abos	noun	The plural form of abo; more than one (kind of) abo.
aboulia	noun	If someone has aboulia, they do not have a lot of will power or desire to do things.
aboulic	adj	If someone is aboulic, they have aboulia (no will power).
abound	verb	If things abound, or if a place abounds with things, there are very large numbers of them.
abounded	verb	The past tense and past participle of abound.
abounding	verb	The present participle of abound.
abounds	verb	The third-person singular form of abound.
about	prep	You use about to say what subject something is related to.
about	prep	If something moves about, it moves in many directions.
about	prep	Having to do with, concerning, regarding.
above	prep	If A is above B, A is higher than or before B, but not touching B.
above	prep	The above comment, discussion, argument, etc. is one higher than or coming before something.
aboveboard	prep	If something or someone is aboveboard, they are honest.
aboveboard	prep	If something is done aboveboard, it is done in an honest way.
abracadabra	intj	Abracadabra is a word you use during a magic trick.
abracadabra	noun	Abracadabra is something that cannot be understood because it does not make sense.
abracadabras	noun	The plural form of abracadabra; more than one (kind of) abracadabra.
abrachia	noun	Abrachia is not having arms.
abrade	verb	If you abrade something, you rub it a lot against something else.
abraded	verb	The past tense and past participle of abrade.
abrades	verb	The third-person singular form of abrade.
abrading	verb	The present participle of abrade.
abranchial	adj	If something is abranchial, it does not have gills.
abranchiate	adj	If something is abranchiate, it does not have gills.
abranchious	adj	If something is abranchious, it does not have gills.
abrase	verb	When you abrase something, you rub it so that it becomes clean and smooth.
abrased	verb	The past tense and past participle of abrase.
abrases	verb	The third-person singular form of abrase.
abrasing	verb	The present participle of abrase.
abrasion	noun	An abrasion is a scraped spot or area.
abrasions	noun	The plural form of abrasion; more than one (kind of) abrasion.
abrasive	adj	An abrasive substance, it is rough and can cut or scratch.
abrasive	adj	If someone is abrasive, they are rude and unfriendly.
abrasive	noun	An abrasive is a rough substance used to clean a hard surface.
abrasiveness	noun	The abrasiveness of something is how abrasive it is.
abrasives	noun	The plural form of abrasive; more than one (kind of) abrasive.
abreast	prep	If you keep or stay abreast of something, you regularly read or study the most recent information about it.
abreast	prep	If two things are abreast, they are side by side.
abridge	verb	To abridge something is to make it shorter or less.
abridged	verb	The past tense and past participle of abridge.
abridged	adj	If something is abridged, it has been shortened.
abridgement	noun	An abridgement is a shorter version of something.
abridgements	noun	The plural form of abridgement; more than one (kind of) abridgement.
abridges	verb	The third-person singular form of abridge.
abridging	verb	The present participle of abridge.
abridgment	noun	An abridgment is a shorter version of something.
abridgments	noun	The plural form of abridgment; more than one (kind of) abridgment.
abroad	prep	If somebody goes abroad, they leave their home country and go to another country.
abroad	prep	If somebody lives abroad, they live in another country.
abrogate	verb	If you abrogate something, you annul it by an authoritative act.
abrogated	verb	The past tense and past participle of abrogate.
abrogates	verb	The third-person singular form of abrogate.
abrogating	verb	The present participle of abrogate.
abrogator	noun	An abrogator is a person who has the ability to change laws.
abrupt	adj	An abrupt action is one that is sudden, or not expected.
abrupt	adj	An abrupt landscape is one with sudden steep changes.
abrupter	adj	The comparative form of abrupt; more abrupt.
abruptest	adj	The superlative form of abrupt; most abrupt.
abruptly	adv	If something happens abruptly, it happens without a warning. It is unexpected.
abruptness	noun	The state or quality of being abrupt.
abruptnesses	noun	The plural form of abruptness; more than one (kind of) abruptness.
abscess	noun	An abscess is an accumulation of pus that has built up within the body tissue.
abscesses	noun	The plural form of abscess; more than one (kind of) abscess.
abscession	noun	Abscession is the action of cutting something off from something else.
abscessions	noun	The plural form of abscession; more than one (kind of) abscession.
abscond	verb	When you abscond, you are running away from somewhere, something or someone. It often means that someone else is with you too.
absconded	verb	The past tense and past participle of abscond.
absconder	noun	An absconder is someone who runs away from somewhere, something or someone.
absconders	noun	The plural form of absconder; more than one (kind of) absconder.
absconding	verb	The present participle of abscond.
abscondment	noun	Abscondment is the action of running away from somewhere, something or someone.
abscondments	noun	The plural form of abscondment; more than one (kind of) abscondment.
absconds	verb	The third-person singular form of abscond.
abseil	verb	If a person abseils, they descend a steep or vertical drop using a rope with a mechanical friction device.
abseil	noun	A rappel is a descent from a mountain using a rope looped at the top and a friction device.
abseiled	verb	The past tense and past participle of abseil.
abseiling	verb	The present participle of abseil.
abseils	verb	The third-person singular form of abseil.
abseils	noun	The plural form of abseil; more than one (kind of) abseil.
absence	noun	Absence is when something is not there.
absence	noun	An absence is a time something is not there.
absences	noun	The plural form of absence; more than one (kind of) absence.
absent	adj	If something is absent, it means to be not in a place or missing.
absent	verb	When you absent yourself from something, you do not turn up for it and not appear.
absent	prep	Absent means without or barring.
absent-minded	adj	Someone who is absent-minded forgets things or does not pay attention to what they are doing, often because they are thinking about something else.
absented	verb	The past tense and past participle of absent.
absentee	noun	An absentee is someone that is not present in one function. Usually used in absence from school.
absenteeism	noun	Absenteeism is failing to go to work often.
absenteeisms	noun	The plural form of absenteeism; more than one (kind of) absenteeism.
absentees	noun	The plural form of absentee; more than one (kind of) absentee.
absenting	verb	The present participle of absent.
absently	adv	If something is done absently, it is done without paying attention to it.
absentminded	adj	Someone who is absentminded forgets things or does not pay attention to what they are doing, often because they are thinking about something else.
absents	verb	The third-person singular form of absent.
absinth	noun	Absinth is a green drink mostly made up of alcohol, anise and wormwood.
absinthe	noun	Absinthe is a green drink mostly made up of alcohol, anise and wormwood.
absinthes	noun	The plural form of absinthe; more than one (kind of) absinthe.
absinths	noun	The plural form of absinth; more than one (kind of) absinth.
absolute	noun	An absolute is something that will always exist.
absolute	adj	If something is absolute, it is complete or total.
absolutely	adv	If something is absolutely true, correct, etc., it's 100% so.
absolutely	adv	If something is absolutely beautiful, brilliant, etc., it's very much so.
absolutely	adv	You say there is absolutely nothing, to emphasise that there is nothing.
absolutes	noun	The plural form of absolute; more than one (kind of) absolute.
absolutism	noun	Absolutism is a form of monarchy that has a strong monarch in charge of a bureaucracy under him or herself.
absolutisms	noun	The plural form of absolutism; more than one (kind of) absolutism.
absolutist	noun	An absolutist is someone who supports a government ruled by one person.
absolutists	noun	The plural form of absolutist; more than one (kind of) absolutist.
absolve	verb	To absolve someone is to free that person from a sin or from a promise.
absolved	verb	The past tense and past participle of absolve.
absolves	verb	The third-person singular form of absolve.
absolving	verb	The present participle of absolve.
absorb	verb	If something is absorbed, it is sucked or soaked up (usually a liquid).
absorb	verb	If you absorb something, you take it in and use it; you learn it.
absorb	verb	If something absorbs your time, it takes all it up; it occupies all of your time.
absorbability	noun	The absorbability of something is how absorbable it is.
absorbable	adj	If something is absorbable, it can be absorbed.
absorbed	verb	The past tense and past participle of absorb.
absorbed	adj	If someone is absorbed, they are deep in thought; they are engrossed.
absorbencies	noun	The plural form of absorbency; more than one (kind of) absorbency.
absorbency	noun	Absorbency is the measurement of how much something can absorb.
absorbent	adj	If something is absorbent, it can soak up liquid.
absorbing	verb	The present participle of absorb.
absorbs	verb	The third-person singular form of absorb.
absorption	noun	Absorption is taking in a gas or liquid through very small holes.
absorption	noun	Absorption is the state of being completely occupied by something.
absorptions	noun	The plural form of absorption; more than one (kind of) absorption.
absorptive	adj	If something is absorptive, it can soak up liquid.
absorptivities	noun	The plural form of absorptivity; more than one (kind of) absorptivity.
absorptivity	noun	The absorptivity of a material is defined by how much the material can absorb another substance.
absquatulate	verb	When you absquatulate, you are running away from somewhere, something or someone. It often means that someone else is with you too.
absquatulated	verb	The past tense and past participle of absquatulate.
absquatulates	verb	The third-person singular form of absquatulate.
absquatulating	verb	The present participle of absquatulate.
abstain	verb	To abstain from something is to do without it or to keep yourself from doing it.
abstained	verb	The past tense and past participle of abstain.
abstainer	noun	An abstainer is someone who abstains from something (does not do it).
abstainers	noun	The plural form of abstainer; more than one (kind of) abstainer.
abstaining	verb	The present participle of abstain.
abstains	verb	The third-person singular form of abstain.
abstentions	noun	The plural form of abstention; more than one (kind of) abstention.
abstinences	noun	The plural form of abstinence; more than one (kind of) abstinence.
abstract	adj	If something is abstract, you cannot touch it, and it is difficult to imagine or think about.
abstract	adj	If something is abstract, it is general.
abstract	adj	If something is abstract, it is thought of as apart from any other use with an object; it is removed from it; it is separate or abstracted.
abstracted	verb	The past tense and past participle of abstract.
abstracted	adj	If something is abstracted, it is separated or disconnected.
abstracted	adj	If someone is abstracted, they forget things or do not pay attention to what they are doing, often because they are thinking about something else.
abstracter	noun	An abstracter is someone who abstracts or summarizes something.
abstracters	noun	The plural form of abstracter; more than one (kind of) abstracter.
abstracting	verb	The present participle of abstract.
abstraction	noun	An abstraction is a general idea rather than one relating to a particular object, person, or situation.
abstraction	noun	Abstraction is the state of being very deep in thought.
abstraction	noun	Abstraction is the use of shapes and patterns in art.
abstractions	noun	The plural form of abstraction; more than one (kind of) abstraction.
abstractness	noun	Abstractness is the state or quality of being abstract.
abstractor	noun	An abstractor is someone who abstracts or summarizes something.
abstractors	noun	The plural form of abstractor; more than one (kind of) abstractor.
abstracts	noun	The plural form of abstract; more than one (kind of) abstract.
abstracts	verb	The third-person singular form of abstract.
abstruse	adj	If something is abstruse, it is very difficult to understand.
abstrusely	adv	If someone is done abstrusely, it is done in a way that is hard to understand.
abstruseness	noun	Abstruseness is the quality of being hard to understand.
absurd	adj	Something absurd is ridiculous and stupid.
absurder	adj	The comparative form of absurd; more absurd.
absurdest	adj	The superlative form of absurd; most absurd.
absurdities	noun	The plural form of absurdity; more than one (kind of) absurdity.
absurdity	noun	An absurdity is something that is absurd or crazy.
absurdity	noun	Absurdity is the measurement of how absurd something is.
absurdly	adv	If something is done absurdly, it is done in a way that is absurd or crazy.
absurdness	noun	The absurdness of something is how absurd it is.
abulia	noun	If someone has abulia, they do not have a lot of will power or desire to do things.
abulias	noun	The plural form of abulia; more than one (kind of) abulia.
abulic	adj	If someone is abulic, they have abulia (no will power).
abundance	noun	If there is an abundance of something, then there is plenty of it.
abundances	noun	The plural form of abundance; more than one (kind of) abundance.
abundant	adj	If something is abundant, then there is a lot of it.
abundantly	adv	Something that is abundantly available is available in abundance.
abundantly	adv	Very.
abuse	noun	Abuse is touching or acting towards someone in a way that will likely hurt them.
abuse	noun	An abuse is an act of using something in the wrong way.
abuse	verb	If you abuse something, you misuse it; you use something improperly.
abused	verb	The past tense and past participle of abuse.
abuser	noun	An abuser is a person who abuses anything.
abusers	noun	The plural form of abuser; more than one (kind of) abuser.
abuses	noun	The plural form of abuse; more than one (kind of) abuse.
abuses	verb	The third-person singular form of abuse.
abusing	verb	The present participle of abuse.
abusive	adj	If someone is abusive, he is violent and abuses (takes advantage of) others.
abut	verb	If A abuts B, A and B share a mutual border or edge.
abuts	verb	The third-person singular form of abut.
abutted	verb	The past tense and past participle of abut.
abutting	verb	The present participle of abut.
abutting	adj	If things are abutting, they touch each other.
abwatt	noun	An abwatt is a unit of electrical power. It is equal to one ten-millionth of a watt.
abwatts	noun	The plural form of abwatt; more than one (kind of) abwatt.
abysm	noun	An abysm is a very deep crack in the earth.
abysmal	adj	If something is abysmal, it is very bad or poor.
abysms	noun	The plural form of abysm; more than one (kind of) abysm.
abyss	noun	An abyss is a very deep crack in the earth.
abysses	noun	The plural form of abyss; more than one (kind of) abyss.
ac	abbrev	AC is a short version of "alternating current" (a kind of electricity).
ac	abbrev	AC is a short version of "air conditioning" (cooling).
academe	noun	Academe is a word for the group of people who are a part of the scientific and cultural community; this group of people have attended a university and/or do research.
academia	noun	Academia is a word for the group of people who are a part of the scientific and cultural community; this group of people have attended a university and/or do research.
academic	adj	An academic topic, lecture, idea, etc., is one that is connected to education.
academic	noun	An academic is a researcher or university teacher.
academic	noun	Academics is the part of school related to learning.
academically	adv	If you are academically gifted, talented, or successfully, you are very good at school subjects and learning.
academically	adv	If you write or speak academically, you do so in a way that many people find boring or hard to understand because it uses a lot of difficult vocabulary or complicated ideas.
academics	noun	The plural form of academic; more than one (kind of) academic.
academics	noun	Academics is the part of school related to learning.
academies	noun	The plural form of academy; more than one (kind of) academy.
academy	noun	An academy is an educational organization, similar to a university or college.
academy	noun	An academy is a place for special training, such as a military academy.
